temperature_C,humidity_pct,hour_of_day,cloud_cover_pct,people_in_room,room_size_m2,wall_material,fan_speed,season,cooling_needed
34.6,55,7,81,6,28,Brick,2,Summer,Yes
22.1,56,1,44,4,30,Mud,1,Spring,No
40.9,73,15,7,4,9,Brick,3,Summer,Yes
14.0,63,12,42,3,17,Brick,0,Winter,No
21.3,35,10,67,4,22,Brick,0,Winter,No
31.3,37,13,32,1,26,Mud,2,Spring,Yes
20.9,40,2,82,0,27,Brick,0,Spring,No
15.9,64,8,72,3,38,Brick,0,Winter,No
31.6,68,22,42,1,24,Brick,2,Autumn,No
27.9,40,17,31,0,21,Mud,0,Autumn,Yes
29.3,44,12,10,2,24,Concrete,3,Autumn,No
26.2,61,0,47,5,36,Brick,1,Autumn,No
39.3,67,15,78,3,24,Concrete,3,Summer,Yes
17.8,37,5,54,5,35,Mud,1,Winter,No
38.7,81,0,61,3,10,Brick,3,Summer,Yes
11.0,39,22,18,5,14,Brick,0,Winter,No
11.3,60,21,86,2,11,Concrete,1,Winter,No
18.3,44,4,99,0,39,Mud,0,Winter,No
19.7,64,6,94,2,19,Brick,0,Winter,No
23.4,33,13,14,6,25,Mud,0,Winter,No
12.0,54,11,97,4,20,Brick,0,Winter,No
19.0,38,10,22,0,23,Concrete,1,Spring,No
19.1,64,7,0,1,15,Mud,0,Spring,No
20.0,30,6,36,6,36,Mud,1,Winter,No
20.1,49,3,24,4,17,Mud,2,Spring,No
39.3,61,15,25,5,22,Mud,3,Summer,Yes
14.4,44,21,73,5,16,Brick,0,Winter,No
26.2,72,4,35,5,29,Brick,0,Autumn,Yes
29.9,53,9,4,5,37,Concrete,1,Spring,Yes
21.6,50,15,24,2,16,Brick,1,Spring,No
39.3,72,10,66,5,18,Mud,3,Summer,Yes
33.5,68,17,71,5,13,Brick,1,Autumn,Yes
27.7,63,21,89,1,33,Brick,1,Spring,No
15.7,43,10,65,3,26,Mud,0,Winter,No
28.2,38,7,47,3,37,Brick,2,Spring,No
11.4,62,17,77,4,35,Mud,0,Winter,No
40.6,65,16,51,6,22,Brick,3,Summer,Yes
19.5,46,23,71,0,32,Concrete,0,Autumn,No
30.3,59,12,34,5,18,Brick,3,Autumn,Yes
31.3,44,13,80,4,37,Brick,3,Spring,No
38.1,75,19,52,6,29,Brick,3,Summer,Yes
30.3,82,2,50,0,36,Brick,2,Summer,Yes
30.6,52,9,51,3,22,Mud,2,Summer,Yes
21.5,43,11,54,2,22,Brick,1,Spring,No
19.1,62,10,23,1,29,Mud,1,Autumn,No
34.2,73,17,1,6,21,Brick,2,Summer,Yes
46.9,61,7,72,5,12,Brick,3,Summer,Yes
29.6,57,18,12,6,31,Brick,3,Autumn,Yes
11.9,35,1,95,3,15,Brick,0,Winter,No
25.3,37,22,11,0,37,Mud,0,Spring,No
19.7,38,14,2,5,38,Mud,0,Autumn,No
19.8,56,5,36,0,22,Mud,0,Winter,No
31.2,58,23,25,4,23,Mud,2,Summer,Yes
22.2,36,17,60,6,13,Brick,1,Winter,No
20.3,43,18,71,0,26,Brick,2,Winter,No
43.3,57,23,83,0,23,Brick,3,Summer,Yes
18.3,74,4,60,5,17,Mud,0,Autumn,No
19.1,48,20,3,3,23,Concrete,0,Autumn,No
22.5,55,19,93,4,31,Brick,2,Autumn,No
47.0,73,11,48,0,34,Concrete,2,Summer,Yes
30.0,66,6,59,4,39,Brick,2,Spring,Yes
20.5,35,21,91,6,15,Concrete,1,Autumn,No
11.0,56,14,52,5,21,Brick,0,Winter,No
38.0,68,6,72,1,40,Brick,2,Summer,Yes
35.9,84,22,1,4,8,Concrete,2,Summer,Yes
45.9,73,19,79,0,36,Brick,3,Summer,Yes
31.0,86,4,89,3,18,Brick,3,Summer,Yes
23.2,32,7,6,6,23,Concrete,0,Winter,No
17.2,50,19,90,0,8,Brick,0,Winter,No
30.3,39,10,88,5,25,Concrete,1,Autumn,Yes
30.9,72,21,24,4,36,Brick,2,Summer,Yes
17.6,63,22,66,6,40,Brick,0,Winter,No
32.5,82,10,3,1,37,Brick,1,Summer,Yes
20.1,34,17,19,5,37,Mud,1,Winter,No
16.6,33,20,51,6,24,Mud,0,Winter,No
20.6,40,6,52,1,29,Brick,1,Winter,No
32.7,88,18,68,5,33,Mud,2,Summer,Yes
45.6,83,11,37,2,36,Mud,3,Summer,Yes
32.6,78,6,95,5,39,Mud,1,Summer,Yes
20.5,53,12,61,1,15,Brick,1,Spring,No
13.3,40,0,97,2,34,Concrete,0,Winter,No
44.1,90,9,23,2,17,Brick,2,Summer,Yes
32.6,57,2,91,3,30,Brick,2,Autumn,Yes
33.6,50,14,65,6,29,Brick,2,Autumn,Yes
30.8,81,19,73,2,29,Brick,3,Summer,Yes
12.3,44,8,66,6,40,Mud,1,Winter,No
30.7,92,11,11,4,20,Mud,3,Summer,Yes
26.9,53,20,79,4,15,Concrete,1,Spring,No
14.0,56,12,100,3,36,Concrete,0,Winter,No
24.7,64,0,49,1,36,Concrete,0,Spring,No
37.8,50,3,46,2,34,Mud,3,Summer,Yes
38.8,68,20,88,6,12,Mud,3,Summer,Yes
28.7,69,5,74,0,25,Concrete,3,Spring,No
42.3,68,23,68,5,15,Brick,3,Summer,Yes
38.2,72,12,11,0,8,Concrete,2,Summer,Yes
10.4,53,9,99,4,24,Brick,0,Winter,No
28.2,51,6,22,0,23,Mud,2,Spring,No
43.1,80,12,73,2,8,Brick,3,Summer,Yes
29.4,38,3,56,4,40,Mud,2,Spring,Yes
30.3,61,19,16,4,20,Concrete,1,Spring,Yes
16.8,50,1,68,4,29,Concrete,1,Winter,No
38.6,85,10,92,0,29,Concrete,2,Summer,Yes
33.4,68,5,13,6,36,Mud,2,Summer,Yes
45.7,69,15,99,2,29,Brick,3,Summer,Yes
11.5,33,23,15,6,22,Brick,0,Winter,No
19.9,45,11,55,3,22,Brick,0,Spring,No
45.3,72,2,64,4,17,Brick,2,Summer,Yes
24.3,64,14,32,3,16,Brick,0,Spring,Yes
33.0,94,5,55,1,12,Brick,1,Summer,Yes
32.7,35,4,21,5,18,Brick,3,Autumn,Yes
11.7,53,10,79,6,21,Mud,0,Winter,No
45.6,89,9,45,1,10,Brick,3,Summer,Yes
30.2,59,6,69,1,22,Mud,2,Spring,Yes
11.6,40,9,13,4,10,Concrete,1,Winter,No
42.5,84,23,33,2,8,Brick,3,Summer,Yes
21.4,44,10,73,5,36,Brick,1,Spring,No
25.3,66,18,48,6,40,Brick,1,Spring,No
19.2,50,12,43,3,13,Brick,0,Spring,No
45.3,69,13,6,1,36,Brick,3,Summer,Yes
25.6,47,17,27,6,28,Mud,1,Spring,Yes
26.5,62,9,16,2,21,Brick,1,Spring,No
41.6,91,4,5,2,12,Brick,2,Summer,Yes
34.9,74,1,22,0,25,Brick,3,Summer,Yes
17.4,45,0,36,1,23,Concrete,0,Winter,No
19.0,71,22,32,3,36,Concrete,0,Autumn,No
27.2,52,2,57,5,15,Brick,1,Spring,Yes
16.3,63,0,79,0,24,Mud,0,Winter,No
32.0,50,22,92,1,27,Concrete,3,Spring,No
32.3,56,16,45,3,34,Mud,3,Summer,Yes
12.6,30,10,48,4,35,Concrete,0,Winter,No
16.5,46,19,97,5,10,Brick,0,Winter,No
41.6,68,20,51,2,39,Brick,2,Summer,Yes
39.2,90,13,36,5,22,Brick,3,Summer,Yes
20.5,44,23,41,5,33,Concrete,1,Spring,No
42.6,57,7,68,5,37,Mud,2,Summer,Yes
24.8,37,15,27,4,22,Brick,1,Autumn,No
32.3,83,18,3,1,20,Concrete,1,Summer,Yes
25.4,64,16,63,4,8,Mud,1,Autumn,Yes
28.9,65,15,91,0,27,Mud,2,Spring,No
21.4,45,12,70,1,27,Brick,1,Spring,No
36.6,89,8,60,1,38,Brick,3,Summer,Yes
19.7,58,2,70,5,20,Concrete,0,Autumn,No
21.8,58,16,20,3,9,Brick,2,Spring,No
22.0,42,21,18,6,36,Brick,1,Spring,No
19.6,45,5,80,0,15,Brick,1,Winter,No
30.0,53,2,67,4,38,Brick,2,Autumn,No
30.3,58,11,19,2,36,Brick,2,Spring,Yes
40.7,59,15,79,1,16,Brick,2,Summer,Yes
40.7,73,4,40,6,20,Brick,3,Summer,Yes
27.5,37,11,79,5,29,Brick,1,Autumn,No
23.7,51,5,94,1,22,Mud,1,Winter,No
12.2,60,1,49,3,16,Mud,0,Winter,No
18.4,56,14,57,4,34,Brick,1,Spring,No
24.5,37,12,21,5,34,Concrete,2,Spring,No
20.2,43,7,20,2,27,Mud,2,Spring,No
22.0,52,6,71,3,19,Brick,1,Winter,No
22.9,54,14,34,1,25,Concrete,0,Spring,No
28.8,58,16,65,5,31,Brick,2,Spring,Yes
20.2,56,4,6,2,36,Brick,1,Winter,No
31.4,55,12,88,3,28,Brick,2,Autumn,Yes
26.3,53,0,11,0,36,Mud,1,Spring,No
22.5,59,18,19,3,37,Concrete,1,Winter,No
23.6,49,5,15,6,27,Concrete,0,Spring,No
15.9,38,11,56,5,11,Concrete,0,Winter,No
40.2,72,1,56,1,31,Brick,2,Summer,Yes
40.6,57,0,36,2,17,Brick,2,Summer,Yes
25.1,55,23,61,1,21,Mud,1,Spring,No
18.1,47,10,42,2,9,Concrete,0,Winter,No
31.1,64,6,82,2,8,Brick,2,Spring,No
41.7,84,21,64,4,35,Concrete,3,Summer,Yes
18.6,56,19,22,3,36,Mud,0,Winter,No
18.6,35,18,76,2,38,Mud,1,Winter,No
30.9,68,12,70,4,26,Brick,2,Summer,Yes
16.2,40,2,21,5,38,Concrete,0,Winter,No
16.7,42,20,98,3,25,Mud,0,Winter,No
39.6,52,13,32,5,38,Brick,3,Summer,Yes
30.5,61,6,5,4,12,Brick,2,Spring,Yes
14.5,33,12,59,2,23,Brick,1,Winter,No
15.8,51,15,31,5,24,Brick,0,Winter,No
40.6,66,16,84,6,9,Mud,2,Summer,Yes
17.1,64,12,45,4,26,Mud,0,Winter,No
18.4,50,17,53,3,37,Brick,0,Autumn,No
19.4,34,21,11,6,30,Brick,0,Winter,No
20.4,50,20,17,2,23,Mud,0,Spring,No
19.2,64,1,90,3,36,Concrete,1,Autumn,No
23.3,43,14,3,2,17,Mud,0,Spring,Yes
11.4,45,11,80,3,38,Mud,0,Winter,No
32.6,40,4,41,2,21,Brick,2,Autumn,Yes
16.1,52,13,27,0,40,Brick,0,Winter,No
38.7,63,10,20,3,11,Concrete,3,Summer,Yes
29.3,50,18,59,6,40,Brick,2,Spring,Yes
39.9,77,9,15,6,37,Brick,2,Summer,Yes
32.7,40,11,47,6,29,Concrete,3,Autumn,Yes
39.8,89,22,72,5,13,Brick,3,Summer,Yes
24.1,72,4,79,0,13,Brick,1,Autumn,No
24.3,62,13,87,2,30,Concrete,1,Spring,No
13.7,59,2,74,3,10,Brick,0,Winter,No
47.0,77,14,29,6,14,Mud,3,Summer,Yes
35.9,56,9,54,0,10,Brick,3,Summer,Yes
44.7,91,8,4,2,12,Mud,3,Summer,Yes
22.8,55,18,26,5,17,Mud,1,Spring,Yes
41.3,61,6,83,1,17,Brick,2,Summer,Yes
35.1,66,1,70,5,32,Brick,2,Summer,Yes
41.2,83,15,65,5,37,Concrete,3,Summer,Yes
29.5,49,15,3,0,35,Concrete,3,Spring,No
29.0,39,1,83,0,18,Mud,3,Spring,No
41.1,73,16,30,1,32,Mud,3,Summer,Yes
43.3,82,22,19,1,15,Concrete,2,Summer,Yes
31.0,42,13,44,2,35,Brick,2,Spring,Yes
22.6,69,8,69,0,9,Brick,1,Spring,No
17.7,43,17,51,2,13,Mud,1,Winter,No
35.6,57,14,19,4,32,Brick,2,Summer,Yes
14.9,64,9,100,3,33,Mud,1,Winter,No
31.1,66,15,93,1,27,Brick,2,Autumn,No
28.2,44,2,51,5,23,Concrete,1,Spring,No
31.1,43,0,74,1,39,Mud,3,Autumn,No
37.6,52,0,3,4,24,Mud,3,Summer,Yes
19.0,56,10,19,0,10,Brick,0,Winter,No
30.9,64,19,14,5,23,Brick,1,Summer,Yes
23.2,34,18,20,6,30,Mud,1,Winter,No
47.0,84,0,8,0,21,Brick,3,Summer,Yes
20.3,49,15,41,4,32,Brick,1,Autumn,No
30.0,47,6,92,6,18,Mud,2,Spring,Yes
31.9,63,11,63,2,36,Brick,1,Summer,Yes
40.1,70,2,67,3,10,Brick,2,Summer,Yes
12.7,46,10,14,4,26,Brick,0,Winter,No
34.8,88,21,94,2,12,Concrete,3,Summer,Yes
26.3,42,20,35,2,35,Concrete,1,Autumn,No
18.0,38,23,67,3,8,Brick,0,Spring,No
27.9,58,18,67,0,23,Mud,0,Autumn,Yes
19.3,39,21,87,2,26,Brick,0,Winter,No
19.4,46,6,17,6,38,Mud,0,Spring,No
22.3,32,3,82,0,30,Concrete,1,Winter,No
28.8,55,5,85,5,32,Brick,2,Autumn,No
42.2,70,22,20,3,10,Brick,3,Summer,Yes
39.9,63,13,0,6,26,Brick,3,Summer,Yes
38.1,94,12,41,0,17,Concrete,3,Summer,Yes
18.4,61,13,43,2,31,Mud,0,Winter,No
40.7,89,5,15,3,10,Brick,2,Summer,Yes
27.0,64,3,62,6,8,Brick,1,Spring,Yes
14.3,38,10,73,1,40,Mud,0,Winter,No
28.0,49,11,4,1,26,Brick,2,Spring,No
26.7,63,5,77,4,35,Brick,0,Spring,Yes
26.3,37,4,36,2,17,Mud,2,Spring,No
20.5,55,10,52,0,17,Mud,1,Winter,No
30.5,53,8,66,4,35,Brick,3,Spring,Yes
38.8,78,21,58,1,40,Concrete,3,Summer,Yes
20.4,55,17,58,5,21,Mud,0,Spring,No
45.2,61,13,8,0,15,Concrete,3,Summer,Yes
22.6,48,16,86,4,9,Concrete,0,Winter,No
39.1,54,9,81,6,22,Mud,3,Summer,Yes
46.7,87,23,69,4,11,Mud,3,Summer,Yes
11.4,55,18,33,0,18,Concrete,1,Winter,No
35.5,53,9,91,2,17,Mud,3,Summer,Yes
20.5,54,22,91,4,39,Concrete,1,Autumn,No
43.4,80,7,90,2,30,Mud,2,Summer,Yes
33.5,44,0,76,2,17,Concrete,1,Autumn,Yes
16.9,56,10,24,0,9,Mud,1,Winter,No
23.0,64,14,65,2,35,Concrete,2,Spring,No
33.8,83,8,3,4,31,Brick,2,Summer,Yes
33.9,42,11,13,6,25,Brick,3,Autumn,Yes
25.4,44,18,82,0,30,Mud,0,Autumn,No
38.8,77,21,52,4,26,Brick,3,Summer,Yes
38.6,67,8,73,6,31,Concrete,2,Summer,Yes
31.3,78,16,51,5,24,Concrete,2,Summer,Yes
23.7,53,12,70,2,35,Brick,0,Spring,No
19.6,55,5,34,3,25,Brick,0,Winter,No
39.3,85,5,9,6,36,Brick,3,Summer,Yes
22.7,56,6,64,3,12,Concrete,2,Spring,No
21.0,46,16,100,5,36,Mud,1,Winter,No
27.3,61,12,45,3,38,Brick,0,Autumn,Yes
41.4,61,13,33,2,35,Brick,2,Summer,Yes
34.9,75,2,47,1,10,Brick,2,Summer,Yes
34.8,57,4,31,1,15,Concrete,3,Summer,Yes
13.6,46,3,74,5,39,Concrete,0,Winter,No
18.4,38,16,78,2,11,Concrete,0,Autumn,No
18.4,63,3,78,5,35,Concrete,0,Autumn,No
19.9,51,17,97,3,11,Brick,0,Spring,No
43.6,89,18,80,6,16,Brick,2,Summer,Yes
25.9,45,11,17,3,35,Concrete,2,Spring,No
22.0,69,7,60,1,11,Brick,1,Autumn,No
44.2,62,5,69,4,27,Mud,3,Summer,Yes
18.8,53,16,53,2,33,Brick,0,Spring,No
16.0,52,5,64,5,26,Mud,0,Winter,No
12.2,64,11,15,2,39,Mud,0,Winter,No
43.6,81,7,38,2,9,Brick,3,Summer,Yes
20.6,42,8,84,1,8,Brick,1,Winter,No
27.3,58,16,36,3,9,Brick,2,Spring,Yes
19.6,53,23,47,6,40,Brick,0,Winter,No
31.1,57,12,46,0,11,Brick,1,Autumn,Yes
27.2,69,20,38,5,11,Concrete,1,Spring,Yes
32.0,88,17,5,6,13,Concrete,2,Summer,Yes
32.3,64,3,65,6,12,Concrete,1,Autumn,Yes
20.8,68,10,37,0,23,Mud,0,Autumn,No
32.6,41,6,74,1,35,Brick,1,Autumn,No
26.5,52,11,39,5,20,Mud,1,Autumn,Yes
25.6,36,20,77,1,16,Mud,0,Spring,No
32.2,36,17,64,6,21,Mud,2,Autumn,Yes
25.8,66,5,2,2,27,Concrete,0,Autumn,No
21.4,34,2,52,4,28,Brick,0,Winter,No
10.5,34,13,66,0,39,Concrete,0,Winter,No
28.2,38,16,6,0,11,Brick,2,Spring,Yes
18.9,36,12,2,4,20,Brick,0,Spring,No
24.9,40,21,97,1,40,Mud,1,Autumn,No
15.4,46,6,20,6,26,Concrete,0,Winter,No
18.0,51,5,5,3,20,Brick,0,Autumn,No
21.4,68,0,95,3,9,Mud,1,Spring,No
22.6,39,20,24,1,39,Mud,0,Spring,No
12.2,57,2,46,4,16,Brick,0,Winter,No
29.7,59,18,81,2,31,Brick,2,Autumn,No
16.3,47,1,27,0,17,Brick,0,Winter,No
45.2,91,20,65,4,27,Brick,3,Summer,Yes
24.8,57,9,79,2,33,Concrete,1,Autumn,No
24.0,49,0,3,6,25,Concrete,1,Spring,No
42.2,55,6,71,4,33,Concrete,2,Summer,Yes
18.6,56,2,41,3,34,Mud,0,Spring,No
38.5,63,13,49,1,17,Brick,3,Summer,Yes
21.8,35,12,3,3,32,Brick,1,Winter,No
17.5,42,16,38,1,25,Brick,0,Winter,No
17.1,45,15,11,5,24,Brick,0,Winter,No
25.8,73,19,82,1,22,Mud,1,Autumn,No
27.1,49,23,64,0,13,Mud,1,Autumn,No
23.1,52,23,35,4,15,Concrete,1,Winter,No
30.8,48,13,92,6,29,Mud,2,Spring,Yes
20.2,61,1,45,4,31,Concrete,0,Autumn,No
10.4,45,19,46,0,15,Brick,0,Winter,No
33.6,79,15,19,5,21,Concrete,2,Summer,Yes
21.7,32,4,56,5,24,Concrete,1,Winter,No
45.8,88,21,95,6,29,Concrete,3,Summer,Yes
31.5,39,19,20,6,24,Brick,1,Spring,Yes
19.7,45,20,6,2,9,Mud,1,Winter,No
19.7,54,0,51,0,25,Brick,0,Winter,No
15.3,55,20,28,0,28,Mud,1,Winter,No
21.5,55,10,44,0,39,Brick,1,Spring,No
24.0,54,8,46,1,27,Concrete,2,Spring,No
22.0,59,21,64,6,39,Brick,1,Spring,No
45.6,54,18,39,3,33,Brick,3,Summer,Yes
38.0,62,13,35,0,29,Brick,2,Summer,Yes
24.1,43,4,38,3,12,Concrete,0,Spring,No
34.8,81,15,20,2,17,Concrete,2,Summer,Yes
44.8,66,15,43,5,28,Concrete,2,Summer,Yes
21.2,41,10,13,3,28,Brick,0,Autumn,No
43.5,70,3,2,3,25,Mud,2,Summer,Yes
33.3,86,2,73,4,39,Mud,2,Summer,Yes
20.6,48,10,49,6,25,Mud,1,Winter,No
29.1,56,2,34,4,25,Brick,2,Autumn,No
11.6,38,9,13,3,38,Brick,0,Winter,No
27.6,40,15,39,0,24,Brick,2,Autumn,No
30.8,56,20,80,5,36,Mud,2,Spring,Yes
42.9,60,2,29,0,17,Brick,2,Summer,Yes
38.0,54,17,81,3,11,Mud,3,Summer,Yes
25.8,59,9,86,2,16,Brick,2,Spring,No
26.5,61,23,68,3,26,Mud,1,Spring,Yes
14.9,34,16,76,0,23,Concrete,0,Winter,No
22.1,35,15,46,0,16,Mud,1,Autumn,No
21.9,64,2,1,4,22,Brick,1,Winter,No
23.2,45,13,53,6,38,Mud,2,Autumn,No
39.8,84,18,79,0,12,Mud,3,Summer,Yes
28.2,66,15,76,1,19,Concrete,2,Spring,No
14.8,40,3,100,1,17,Mud,0,Winter,No
31.9,45,16,77,0,24,Mud,1,Spring,Yes
42.6,70,6,90,1,16,Concrete,3,Summer,Yes
18.6,37,13,4,5,39,Concrete,0,Autumn,No
12.2,39,3,38,3,36,Mud,1,Winter,No
22.9,38,2,53,6,27,Brick,1,Spring,No
45.3,69,7,70,0,25,Brick,3,Summer,Yes
37.5,92,18,41,6,8,Concrete,3,Summer,Yes
16.7,63,17,25,3,8,Concrete,1,Winter,No
27.7,49,10,31,5,40,Brick,1,Spring,Yes
15.5,64,13,1,5,11,Mud,0,Winter,No
22.1,33,5,55,0,18,Brick,1,Winter,No
23.8,30,17,12,2,21,Concrete,1,Winter,No
22.4,44,0,1,2,28,Concrete,1,Autumn,No
19.8,30,15,68,4,9,Concrete,0,Winter,No
19.7,67,16,32,5,9,Mud,1,Spring,No
26.8,48,2,10,0,10,Mud,2,Spring,No
46.8,78,16,50,3,17,Brick,3,Summer,Yes
37.2,73,10,33,5,37,Mud,3,Summer,Yes
43.7,92,11,7,1,37,Brick,3,Summer,Yes
27.6,64,1,13,2,22,Concrete,0,Spring,No
45.1,72,14,3,5,25,Brick,3,Summer,Yes
38.1,60,14,45,5,9,Concrete,3,Summer,Yes
22.8,51,2,50,5,26,Mud,1,Spring,No
16.4,49,21,49,3,13,Brick,0,Winter,No
22.0,60,7,8,4,9,Concrete,1,Winter,No
37.6,78,20,39,0,20,Brick,2,Summer,Yes
18.5,43,6,14,5,10,Concrete,0,Spring,No
31.7,76,14,98,0,8,Brick,2,Summer,Yes
36.2,63,1,77,0,39,Mud,3,Summer,Yes
27.7,38,4,1,3,16,Concrete,2,Spring,No
21.2,40,21,28,2,37,Mud,1,Winter,No
35.4,60,19,64,0,35,Brick,3,Summer,Yes
26.2,66,11,92,6,9,Brick,1,Spring,Yes
28.1,53,6,38,0,20,Brick,1,Spring,No
37.7,78,17,72,5,15,Brick,3,Summer,Yes
40.7,88,4,56,3,33,Mud,3,Summer,Yes
27.3,45,11,85,2,8,Concrete,1,Spring,No
29.0,65,18,16,4,17,Brick,1,Spring,Yes
18.9,50,4,12,0,8,Brick,1,Winter,No
18.0,63,8,56,5,8,Concrete,0,Winter,No
26.7,39,6,80,6,16,Mud,0,Spring,Yes
32.3,51,17,70,3,40,Brick,2,Autumn,Yes
13.1,32,10,58,1,20,Concrete,0,Winter,No
20.0,68,0,34,5,15,Brick,1,Spring,No
22.7,42,2,8,2,23,Brick,1,Winter,No
39.6,73,12,68,2,26,Brick,3,Summer,Yes
30.4,90,7,73,4,40,Mud,2,Summer,Yes
33.0,39,17,96,6,22,Mud,2,Autumn,Yes
35.5,93,1,76,1,15,Mud,3,Summer,Yes
46.1,56,9,36,5,25,Brick,3,Summer,Yes
29.9,68,19,81,6,29,Brick,2,Autumn,Yes
42.7,66,19,89,6,19,Brick,2,Summer,Yes
43.4,76,10,46,3,26,Mud,2,Summer,Yes
31.6,46,16,24,2,31,Brick,2,Spring,Yes
45.4,89,13,65,0,36,Brick,3,Summer,Yes
36.5,62,18,78,5,31,Brick,3,Summer,Yes
46.4,67,2,89,4,22,Brick,2,Summer,Yes
30.7,60,6,36,2,13,Brick,2,Spring,Yes
39.1,88,4,52,4,34,Concrete,3,Summer,Yes
27.0,57,19,2,4,35,Mud,1,Autumn,Yes
33.4,57,6,39,5,40,Brick,2,Autumn,Yes
10.8,41,22,12,0,16,Concrete,0,Winter,No
29.8,56,9,89,6,25,Brick,3,Autumn,No
45.1,83,17,45,5,34,Mud,2,Summer,Yes
23.7,50,0,39,5,32,Concrete,1,Winter,No
17.7,38,12,99,3,40,Brick,0,Winter,No
26.6,69,21,81,0,27,Mud,0,Spring,No
31.7,60,19,74,1,37,Concrete,2,Summer,Yes
13.2,33,23,99,6,13,Brick,0,Winter,No
21.5,50,12,37,6,22,Mud,1,Autumn,No
18.2,40,9,44,1,36,Mud,0,Winter,No
29.5,35,12,95,2,22,Brick,2,Autumn,No
25.4,43,19,39,3,34,Concrete,0,Spring,No
31.4,44,9,80,6,14,Brick,2,Autumn,Yes
20.5,69,7,39,3,31,Concrete,1,Spring,No
24.7,55,6,33,0,15,Mud,1,Spring,No
31.1,85,6,36,0,39,Brick,2,Summer,Yes
27.4,60,16,68,0,25,Concrete,2,Autumn,No
33.9,63,15,77,2,29,Concrete,3,Summer,Yes
23.1,35,19,46,5,36,Brick,1,Autumn,No
15.9,30,7,46,4,26,Mud,0,Winter,No
28.0,39,5,77,2,11,Concrete,2,Spring,No
42.4,63,14,21,3,10,Concrete,3,Summer,Yes
44.5,83,20,96,3,14,Mud,3,Summer,Yes
43.6,50,22,6,2,19,Mud,3,Summer,Yes
39.3,82,3,74,1,29,Brick,2,Summer,Yes
32.8,58,7,45,1,35,Brick,2,Autumn,No
21.6,50,15,32,2,13,Brick,1,Spring,No
38.4,67,19,30,6,28,Concrete,3,Summer,Yes
22.8,39,21,0,3,40,Brick,1,Spring,No
12.4,42,14,58,3,40,Brick,0,Winter,No
19.7,57,21,72,6,17,Mud,0,Winter,No
32.3,73,15,71,0,32,Brick,1,Summer,Yes
21.1,35,18,19,4,20,Brick,1,Spring,No
38.2,66,20,96,3,11,Brick,3,Summer,Yes
32.1,46,0,19,5,33,Brick,2,Autumn,Yes
27.8,61,12,61,0,18,Concrete,1,Autumn,No
31.2,52,22,55,1,8,Brick,1,Autumn,Yes
45.5,80,8,26,6,27,Mud,2,Summer,Yes
36.7,91,8,66,3,28,Brick,3,Summer,Yes
11.9,35,22,17,6,19,Mud,0,Winter,No
21.7,62,3,83,5,12,Brick,2,Spring,No
22.7,43,15,21,3,32,Concrete,1,Winter,No
19.0,58,19,79,5,12,Brick,0,Spring,No
26.7,46,7,58,1,35,Concrete,1,Spring,No
10.5,60,11,39,6,38,Brick,0,Winter,No
21.9,57,10,59,1,10,Brick,1,Spring,No
28.3,70,23,49,0,12,Concrete,2,Autumn,No
18.9,49,7,73,3,8,Brick,0,Autumn,No
12.2,41,13,96,4,26,Brick,0,Winter,No
13.9,41,15,57,3,31,Concrete,1,Winter,No
12.4,56,20,79,3,38,Concrete,0,Winter,No
44.0,63,13,66,1,10,Concrete,3,Summer,Yes
23.3,37,15,95,1,10,Mud,1,Spring,No
10.5,47,5,92,1,14,Mud,0,Winter,No
24.2,35,15,32,4,40,Concrete,1,Autumn,No
25.2,42,13,81,0,8,Brick,1,Spring,No
42.5,93,17,9,1,27,Brick,3,Summer,Yes
25.4,43,2,15,0,25,Mud,1,Autumn,No
23.9,36,12,16,2,27,Concrete,2,Winter,No
32.3,89,0,43,3,40,Brick,2,Summer,Yes
31.1,38,20,72,5,13,Mud,2,Autumn,Yes
24.6,46,11,54,1,29,Brick,1,Spring,No
42.4,64,14,81,5,11,Brick,3,Summer,Yes
22.7,50,22,35,0,30,Mud,1,Winter,No
21.4,37,8,35,5,23,Brick,1,Winter,No
23.9,47,21,53,3,16,Brick,1,Spring,No
34.5,91,20,1,3,13,Mud,3,Summer,Yes
29.9,72,7,72,3,25,Mud,2,Autumn,No
16.2,53,23,53,4,32,Concrete,1,Winter,No
40.3,81,13,31,0,30,Brick,3,Summer,Yes
36.2,81,14,1,6,9,Brick,3,Summer,Yes
13.2,50,18,69,5,31,Mud,0,Winter,No
18.6,48,6,33,5,39,Brick,1,Spring,No
31.3,57,9,21,4,16,Brick,2,Spring,Yes
11.6,64,16,0,2,37,Brick,0,Winter,No
45.6,51,7,55,2,28,Concrete,3,Summer,Yes
16.2,59,2,29,6,37,Mud,0,Winter,No
28.4,40,22,61,0,15,Mud,3,Autumn,No
10.3,42,19,37,0,16,Concrete,0,Winter,No
36.4,51,3,60,6,32,Brick,3,Summer,Yes
31.0,59,5,62,6,37,Mud,2,Autumn,Yes
47.0,54,23,3,3,21,Concrete,3,Summer,Yes
14.5,50,18,90,2,33,Brick,0,Winter,No
29.3,46,7,51,4,14,Concrete,2,Spring,No
11.9,55,23,42,2,9,Concrete,1,Winter,No
26.1,57,16,94,6,28,Mud,0,Autumn,No
27.2,58,11,37,0,9,Concrete,1,Autumn,No
34.3,71,1,34,2,40,Brick,3,Summer,Yes
30.7,64,11,21,1,33,Concrete,2,Summer,Yes
